编号,标题,,机构,难度,学时,热度,语言,开课日期,副标题,学科
13134,自动驾驶汽车,,多伦多大学,难（高级）,2 个月,热度 518,英语,2月15日,专项课程,计算机
6238,学习编程：撰写高质量代码,,多伦多大学,简单（初级）,20 个小时,热度 436,英语,2月15日,,计算机
19660,学习编程：基础,,多伦多大学,简单（初级）,29 个小时,热度 455,"英语, 意大利语, 其他",2月15日,,计算机
12747,电商推广设计师,,网易用户体验设计中心,简单（初级）,6 个月,热度 427,中文,,微专业,艺术
15543,电商数据分析师,,网易,简单（初级）,2 个月,热度 473,中文,4月11日,微专业,商业管理
8663,java高级开发工程师,,网易技术专家团,难（高级）,7 个月,热度 499,中文,3月1日,微专业,计算机
13205,安卓高级开发工程师,,网易技术专家团,难（高级）,8 个月,热度 338,中文,3月22日,微专业,计算机
5883,AI工程师（计算机视觉方向）,,城市数据团,普通（中级）,5 个月,热度 382,中文,2月27日,微专业,计算机
17246,AI工程师（自然语言处理）,,稀牛学院 & 网易,普通（中级）,4 个月,热度 286,中文,1月31日,微专业,计算机
14925,AI量化交易,,稀牛学院 & 网易,普通（中级）,5 个月,热度 276,中文,1月25日,微专业,金融
7896,数据可视化,,城市数据团,简单（初级）,4 个月,热度 283,中文,2月27日,微专业,计算机
15992,数据分析师（Excel+SQL）,,经管之家,简单（初级）,3 个月,热度 486,中文,4月11日,微专业,商业管理
6393,Python定量城市研究实战,,城市数据团,普通（中级）,5 个月,热度 307,中文,2月28日,微专业,计算机
12894,Python 应用基础,,北京理工大学,简单（初级）,4 个月,热度 556,中文,,微专业,计算机
612,深度学习工程师（实战）,,稀牛学院 & 网易,普通（中级）,5 个月,热度 124,中文,3月21日,微专业,计算机
5752,使用React进行全栈Web开发,,香港科技大学,普通（中级）,5 个月,热度 372,"英语, 其他",1月28日,专项课程,计算机
12100,金融科技：金融业转型与监管,,香港科技大学,简单（初级）,4 个月,热度 341,"英语, 其他",1月28日,专项课程,金融
9645,1万名女性:评估你的业务增长潜力,,高盛,普通（中级）,5 个小时,热度 596,英语,1月9日,,商业管理
4046,实用深度学习导论,,英特尔,普通（中级）,12 个小时,热度 662,英语,1月9日,,计算机
9746,Intel®网络学院 – 网络转换入门,,英特尔,简单（初级）,14 个小时,热度 489,英语,1月9日,,计算机
1467,英特尔架构的并行基础,,英特尔,普通（中级）,18 个小时,热度 379,英语,1月9日,,计算机
11937,IBM 客户互动专家专业认证,,IBM,简单（初级）,18 个小时,热度 339,英语,1月9日,,计算机
3427,Node-RED 开发人员指南,,IBM,普通（中级）,21 个小时,热度 309,英语,1月9日,,计算机
797,无代码开发聊天机器人,,IBM,简单（初级）,13 个小时,热度 523,英语,1月9日,,计算机
2318,应用数据科学,,IBM,简单（初级）,1 个月,热度 451,"英语, 德语, 其他",1月9日,专项课程,计算机
12581,数据科学概论,,IBM,简单（初级）,1 个月,热度 475,"英语, 其他",1月9日,专项课程,计算机
6029,数据分析和表达技巧：普华永道方法,,普华永道,简单（初级）,3 个月,热度 796,"英语, 法语, 日语",1月9日,专项课程,商业管理
5585,Logic Pro X 音乐制作,,Digital Music Masters,简单（初级）,22 个小时,热度 385,英语,,,艺术
13993,IBM 微服务,,IBM,普通（中级）,1 个月,热度 441,英语,1月9日,专项课程,计算机
2845,增强现实和 ARCore 入门,,Google AR & VR,简单（初级）,5 个小时,热度 137,英语,1月9日,,计算机
3055,VR 和 360度视频制作,,Google AR & VR,简单（初级）,8 个小时,热度 172,英语,1月9日,,计算机
466,Unity 游戏程序员专家认证考试准备,,Unity,难（高级）,5 个月,热度 344,英语,1月9日,专项课程,计算机
1861,Unity 程序员认证考试准备,,Unity,普通（中级）,3 个月,热度 224,英语,1月9日,专项课程,计算机
8478,Unity 3D艺术家认证,,Unity,普通（中级）,4 个月,热度 237,英语,1月9日,专项课程,艺术
2168,人工智能入门,,deeplearning.ai,简单（初级）,5 个小时,"热度 3,397",英语,3月7日,,计算机
14915,CAD和数字制造,,AUTODESK,普通（中级）,3 个月,热度 243,英语,1月9日,专项课程,计算机
18503,思科网络基础,,Cisco,简单（初级）,2 个月,热度 234,"英语, 西班牙语, 葡萄牙语, 俄语, 其他",1月9日,专项课程,互联网
1566,大数据分析：商业应用与策略管理,,国立台湾大学,简单（初级）,18 个小时,热度 406,中文,1月7日,,商业管理
9262,服务模式的体验、设计与创新：从痛点到卖点,,国立台湾大学,简单（初级）,12 个小时,热度 232,中文,1月7日,,商业管理
9543,一堂课让你认识肺癌,,国立台湾大学,简单（初级）,9 个小时,热度 196,中文,1月7日,,医学健康
6271,机器人学 一,,国立台湾大学,简单（初级）,32 个小时,热度 197,中文,1月7日,,工程
17514,食品安全与风险分析,,国立台湾大学,普通（中级）,10 个小时,热度 164,中文,1月7日,,医学健康
16906,用Python 做商管程序设计（三）,,国立台湾大学,普通（中级）,13 个小时,热度 317,中文,1月7日,,计算机
6278,用Python 做商管程序设计（二）,,国立台湾大学,普通（中级）,12 个小时,热度 222,中文,1月7日,,计算机
19294,用Python 做商管程序设计（一）,,国立台湾大学,简单（初级）,18 个小时,热度 420,中文,1月7日,,计算机
1964,人工智能：机器学习与理论基础,,国立台湾大学,普通（中级）,23 个小时,热度 229,中文,1月7日,,计算机
13715,经济学概论：诱因与市场,,国立台湾大学,简单（初级）,15 个小时,热度 194,中文,1月7日,,经济
263,行销典范转移: 变动中的消费世界,,国立台湾大学,普通（中级）,23 个小时,热度 119,中文,1月7日,,商业管理
18317,赛局与产业竞争策略,,国立台湾大学,普通（中级）,14 个小时,热度 105,中文,1月7日,,商业管理
4169,商管研究中的赛局分析（二）：资讯经济学,,国立台湾大学,普通（中级）,12 个小时,热度 91,中文,1月7日,,经济
14280,商管研究中的赛局分析（一）：通路选择、合约制定与共享经济,,国立台湾大学,简单（初级）,19 个小时,热度 70,中文,1月7日,,商业管理
6303,顽想学概率：机率二,,国立台湾大学,普通（中级）,30 个小时,热度 129,中文,1月7日,,数学与统计
6258,顽想学概率：机率一,,国立台湾大学,简单（初级）,22 个小时,热度 106,中文,1月7日,,数学与统计
17185,少年福利与权利,,国立台湾大学,简单（初级）,20 个小时,热度 121,中文,1月7日,,社会
7732,发展心理学：哲学观与方法论,,国立台湾大学,简单（初级）,10 个小时,热度 217,中文,1月7日,,哲学
1792,唐诗新思路,,国立台湾大学,简单（初级）,23 个小时,热度 119,中文,1月7日,,文学
12754,现代文学导读：诗、散文、小说,,国立台湾大学,简单（初级）,24 个小时,热度 106,中文,,,文学
5395,东亚儒学：孟子二,,国立台湾大学,简单（初级）,19 个小时,热度 256,中文,1月7日,经典课程,哲学
16640,东亚儒学：孟子一,,国立台湾大学,简单（初级）,19 个小时,热度 231,中文,1月7日,经典课程,哲学
8145,庄子 – 人情,,国立台湾大学,简单（初级）,22 个小时,热度 262,中文,1月7日,经典课程,哲学
19033,庄子 – 姿势、意识与感情,,国立台湾大学,简单（初级）,28 个小时,热度 195,中文,1月7日,经典课程,哲学
17570,东亚儒家：人文精神二,,国立台湾大学,普通（中级）,24 个小时,热度 111,中文,1月7日,经典课程,哲学
13325,东亚儒家：人文精神一,,国立台湾大学,简单（初级）,22 个小时,热度 147,中文,1月7日,经典课程,哲学
514,心理学概论,,耶鲁大学,简单（初级）,15 个小时,热度 207,英语,1月7日,,心理
7546,Thomas Berry的世界观：地球社区的繁荣,,耶鲁大学,简单（初级）,14 个小时,热度 93,"中文, 英语",1月7日,,环境与地球
2296,宇宙之旅：对话,,耶鲁大学,简单（初级）,26 个小时,热度 90,"中文, 英语",1月7日,,环境与地球
